mchDate,mchTime,mchType,oppName,locName,locState,trnName,-=winLoss,-runTerps',-runOpponents'
1999-02-05,12:00:00,Home,Florida Atlantic,South Florida,FL,,L,2,3
1999-02-05,15:00:00,Away,Georgia,Tampa,FL,Louisville Slugger Tournament,W,6,5
1999-02-06,18:00:00,Home,NorthweStrn,South Florida,FL,,L,2,6
1999-02-06,12:45:00,Away,Florida Atlantic,Tampa,FL,Louisville Slugger Tournament,W,3,2
1999-02-12,13:00:00,Home,Nebraska,Arizona State,AZ,,L,1,3
1999-02-13,9:00:00,Home,Alabama,Arizona State,AZ,,W,3,2
1999-02-14,10:00:00,Home,Utah,Phoenix,AZ,Arizona State Coca-Cola Classic,W,5,1
1999-02-14,12:00:00,Home,Georgia,Arizona State,AZ,,W,9,4
1999-02-19,10:00:00,Home,Ohio,North Carolina,NC,,W,4,3
1999-02-20,11:00:00,Home,Temple,North Carolina,NC,,W,3,1
1999-03-04,18:00:00,Home,UIC,South Florida,FL,,L,1,2
1999-03-05,18:00:00,Home,South Carolina,South Florida,FL,,L,1,3
1999-03-06,12:00:00,Home,Alabama,South Florida,FL,,L,3,7
1999-03-13,12:00:00,Home,Florida Atlantic,Florida State,FL,,W,10,1
1999-03-20,13:00:00,Home,Long Island,College Park,MD,,W,7,1
1999-03-24,17:30:00,Away,Florida St,Florida State,FL,,W,5,3
1999-03-26,15:00:00,Home,Campbell,Georgia Tech,GA,,W,7,2
1999-03-26,20:00:00,Home,Ohio St,Atlanta,GA,Buzz Classic,W,11,3
1999-03-31,17:30:00,Home,UMBC,UMBC,MD,,W,6,2
1999-04-03,16:00:00,Home,Towson,College Park,MD,,W,5,2
1999-04-07,15:00:00,Home,Hofstra,College Park,MD,,W,3,2
1999-04-07,18:00:00,Home,Hofstra,College Park,MD,,W,9,3
1999-04-09,16:00:00,Home,Georgia Tech,College Park,MD,,W,2,1
1999-04-16,15:00:00,Home,Charlotte,College Park,MD,,W,2,1
1999-04-18,13:30:00,Home,North Carolina,College Park,MD,,W,9,3
1999-04-18,15:30:00,Home,North Carolina,College Park,MD,,W,5,4
1999-04-24,13:00:00,Away,Virginia,Virginia,VA,,L,2,5
1999-05-02,13:00:00,Away,South Florida,South Florida,FL,,W,2,1
1999-05-02,16:00:00,Away,South Florida,South Florida,FL,,W,5,3
1999-05-08,12:00:00,Home,Princeton,College Park,MD,,W,3,2
1999-05-08,15:00:00,Home,Princeton,College Park,MD,,W,4,3
1999-05-22,14:30:00,Away,Arizona,Tucson,AZ,NCAA Regional,W,7,3
